headword,CEFR,example_en,translation_ar,example_ar
funky,C1,She wore a funky hat to the party.,غريب الأطوار,كانت ترتدي قبعة غير تقليدية للحفلة.
furious,C1,She was furious when she found out the truth.,حانِق,كانت غاضبة عندما اكتشفت الحقيقة.
furor/furore,C1,The announcement caused a public furor.,ضجة / ضجة,وأثار هذا الإعلان غضبا شعبيا.
gaiety,C1,The gaiety of the carnival lifted everyone’s spirits.,ابتهاج,ورفعت بهجة الكرنفال معنويات الجميع.
gambling,C1,Gambling can be addictive if not controlled.,القمار,يمكن أن تؤدي المقامرة إلى الإدمان إذا لم يتم التحكم فيها.
gangster,C1,The movie portrayed the life of a 1920s gangster.,العصابات,يصور الفيلم حياة رجل عصابات في العشرينيات من القرن الماضي.
gardener,C1,The gardener pruned the roses yesterday.,بستاني,قام البستاني بتقليم الورود بالأمس.
gasp,C1,She let out a gasp when she saw the surprise.,اللحظات,أطلقت شهقة عندما رأت المفاجأة.
gateway,C1,The bridge served as a gateway to the island.,بوابة,كان الجسر بمثابة بوابة للجزيرة.
gaudy,C1,The decorations were too gaudy for her taste.,مبهرج,وكانت الزخارف مبهرجة للغاية بالنسبة لذوقها.
generalize/generalise,C1,You can’t generalize from a single case.,تعميم / تعميم,لا يمكنك التعميم من حالة واحدة.
generosity,C1,His generosity helped many families in need.,الكرم,وساعد كرمه العديد من العائلات المحتاجة.
graphically,C1,The instructions were graphically illustrated.,بيانيا,تم توضيح التعليمات بيانيا.
gravestone,C1,Her name was engraved on the gravestone.,شاهد القبر,وقد نقش اسمها على شاهد القبر.
gravitation,C1,Newton studied gravitation carefully.,الجاذبية,لقد درس نيوتن الجاذبية بعناية.
greatness,C1,He aspired to greatness in his career.,عظمة,كان يطمح إلى العظمة في حياته المهنية.
grieve,C1,She needed time to grieve the loss.,يحزن,كانت بحاجة إلى وقت لتحزن على الخسارة.
grim,C1,The news painted a grim picture.,قاتمة,ورسمت الأخبار صورة قاتمة.
grown-up,C1,He felt nervous at the grown-up party.,كبار,لقد شعر بالتوتر في حفلة الكبار.
guerrilla,C1,The guerrilla fighters hid in the jungle.,حرب العصابات,اختبأ مقاتلو حرب العصابات في الغابة.
gulp,C1,He took a gulp of water.,بلع,فأخذ جرعة من الماء.
gum,C1,She chewed gum after lunch.,علكة,لقد مضغت العلكة بعد الغداء.
gunshot,C1,They heard a gunshot in the distance.,طلقة نارية,وسمعوا صوت إطلاق نار من بعيد.
guts,C1,It took guts to speak out.,الشجاعة,استغرق الأمر الشجاعة للتحدث.
gymnastic,C1,She performed a gymnastic routine.,الجمباز,قامت بأداء روتين الجمباز.
habitant,C1,The village habitant welcomed us warmly.,ساكن,استقبلنا سكان القرية بحرارة.
hail,C1,They watched hail bounce off the roof.,يشيد,شاهدوا البرد يرتد من السطح.
hairy,C1,The dog had a very hairy coat.,مشعر,كان للكلب معطف مشعر جدًا.
handicap,C1,They refused to see her wheelchair as a handicap.,عائق,لقد رفضوا اعتبار كرسيها المتحرك بمثابة إعاقة.
handicraft,C1,She learned traditional handicraft techniques at the workshop.,الحرف اليدوية,لقد تعلمت تقنيات الحرف اليدوية التقليدية في ورشة العمل.
handout,C1,The professor gave each student a handout on the topic.,ورقة عمل,قام الأستاذ بإعطاء كل طالب ورقة حول هذا الموضوع.
handrail,C1,She held the handrail tightly on the steep stairs.,درابزين,أمسكت الدرابزين بإحكام على الدرج شديد الانحدار.
hard drive,C1,I saved the document on my external hard drive.,القرص الصلب,لقد قمت بحفظ المستند على القرص الصلب الخارجي الخاص بي.
harmless,C1,The snake turned out to be harmless.,غير مؤذية,تبين أن الثعبان غير ضار.
harrow,C1,The farmer used a harrow to smooth the field.,مسلفة,استخدم المزارع المشط لتنعيم الحقل.
haste,C1,In his haste to leave, he forgot his passport.,تسرع,وفي عجلة من أمره للمغادرة، نسي جواز سفره.
hastily,C1,She hastily wrote down the address before leaving.,على عجل,لقد كتبت العنوان على عجل قبل المغادرة.
hatching,C1,The hatching of the turtle eggs fascinated the children.,فقس البيوض,لقد أذهل تفقيس بيض السلاحف الأطفال.
haunting,C1,The movie’s haunting soundtrack stayed with me.,المؤرقة,بقيت الموسيقى التصويرية المؤلمة للفيلم معي.
hazardous,C1,Handling these chemicals without gloves is hazardous.,خطرة,يعد التعامل مع هذه المواد الكيميائية بدون قفازات أمرًا خطيرًا.
health care,C1,Access to health care is a basic human right.,الرعاية الصحية,إن الحصول على الرعاية الصحية هو حق أساسي من حقوق الإنسان.
heap,C1,They left a heap of leaves in the garden.,كومة,لقد تركوا كومة من أوراق الشجر في الحديقة.
heartbreaking,C1,The news of the accident was heartbreaking.,مفجع,وكان خبر الحادث مفجعا.
heartwarming/heart-warming,C1,The reunion scene was heartwarming.,الحميم / الاحترار القلب,كان مشهد لم الشمل مؤثرًا.
hedge,C1,They planted a hedge along the property boundary.,التحوط,قاموا بزرع سياج على طول حدود الممتلكات.
helper,C1,She works as a volunteer helper at the animal shelter.,المساعد,تعمل كمساعدة متطوعة في ملجأ الحيوانات.
hemp,C1,The farmer grew hemp for sustainable textiles.,القنب,قام المزارع بزراعة القنب من أجل المنسوجات المستدامة.
hesitation,C1,After a moment of hesitation, he agreed to join.,تردد,وبعد لحظة من التردد، وافق على الانضمام.
high-tech/hi-tech,C1,They installed a high‑tech security system.,التكنولوجيا الفائقة / التكنولوجيا الفائقة,لقد قاموا بتركيب نظام أمني عالي التقنية.
hijack,C1,The criminals attempted to hijack the airplane.,خطف,حاول المجرمون اختطاف الطائرة.
hilarious,C1,The comedian’s jokes were absolutely hilarious.,مرح,كانت نكات الممثل الكوميدي مضحكة للغاية.
holder,C1,He bought a new phone holder for his car.,حامل,اشترى حامل هاتف جديد لسيارته.
hollow,C1,The tree trunk was hollow inside.,أجوف,كان جذع الشجرة مجوفًا من الداخل.
holocaust,C1,They visited the Holocaust memorial museum.,محرقة,وقاموا بزيارة المتحف التذكاري للهولوكوست.
homeward,C1,They set off on the homeward journey at dusk.,العودة إلى المنزل,انطلقوا في رحلة العودة إلى الوطن عند الغسق.
hone,C1,He used the workshop to hone his carpentry skills.,شحذ,استخدم الورشة لصقل مهاراته في النجارة.
honor/honour,C1,He received an honor for his bravery.,شرف / شرف,حصل على وسام لشجاعته.
honorable/honourable,C1,She was known for her honourable conduct.,مشرف/مشرف,وكانت معروفة بسلوكها المشرف.
hood,C1,He pulled the hood of his jacket over his head.,كَبُّوت,قام بسحب غطاء سترته فوق رأسه.
hospice,C1,The patient received care in a hospice.,تكية,تلقى المريض الرعاية في دار العجزة.
hospitable,C1,They were very hospitable to their guests.,مضياف,لقد كانوا مضيافين جدًا لضيوفهم.
hospitalize/hospitalise,C1,He was hospitalized for observation.,دخول المستشفى / المستشفى,تم نقله إلى المستشفى للمراقبة.
hourly,C1,They get paid on an hourly basis.,كل ساعة,يتقاضون رواتبهم على أساس كل ساعة.
housekeeper,C1,The hotel’s housekeeper cleans the rooms daily.,مدبرة منزل,تقوم مدبرة الفندق بتنظيف الغرف يوميًا.
housemaster,C1,The housemaster supervises the dormitory.,مدير المنزل,يشرف رب المنزل على المهجع.
housewife,C1,She was a housewife before returning to work.,ربة منزل,وكانت ربة منزل قبل أن تعود إلى العمل.
